2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.93.77 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.70.0 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.64.22 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.92.237 says 10.156.86.148 / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.94.28 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.94.54 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.66.138 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.74.82 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.66.141 says 0.0.0.0 / Padding | Size: 60 bytes
2024-01-22 19:15:34 | Action: allowed | Packet Summary: Ether / 10.156.65.41 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.64.143 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.90.115 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.92.16 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.87.87 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.83.219 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.76.237 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.87.87 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.64.26 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.90.66 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.91.197 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.81.253 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.76.180 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.93.211 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.64.209 > 224.0.0.251 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.81.20 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.67.232 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.72.199 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.81.158 says 10.156.64.2 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.77.140 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / 10.156.94.38 > 224.0.0.22 2 / Raw | Size: 62 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.64.137 says 10.156.66.189 / Padding | Size: 60 bytes
2024-01-22 19:15:35 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.83.44 says 10.156.64.2 / Padding | Size: 60 bytes
